Connecting to /dev/ttyUSB1 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
37770,2000,1.135,-4.2,1.2,46.0
37922,2000,1.262,-4.2,1.6,45.4
38074,2000,1.391,-3.6,2.1,44.6
38226,2000,1.537,-2.6,2.9,43.6
38378,2000,1.687,-1.9,3.3,42.4
38530,2000,1.839,-1.5,3.4,40.9
38682,2000,1.993,-1.0,3.2,39.5
38833,2000,2.144,-0.8,2.6,38.3
38985,2000,2.293,-1.0,2.2,37.3
39137,2000,2.441,-1.6,1.9,36.8
39289,2000,2.582,-1.8,1.9,36.6
[FCU] EKF3 IMU0 MAG0 in-flight yaw alignment complete
[FCU] EKF3 IMU1 MAG0 in-flight yaw alignment complete
39542,2000,2.717,-1.6,1.7,27.2
39746,2000,3.847,-2.1,1.5,28.6
39897,2000,3.841,-0.6,0.7,28.2
40049,2000,3.836,-0.6,0.5,28.4
40201,2000,3.833,-0.9,0.4,28.7
40353,2000,3.835,-1.4,0.4,29.0
40505,2000,3.837,-1.3,0.8,29.1
40657,2000,3.844,-1.2,1.2,29.3
40809,2000,3.851,-1.2,1.4,29.5
40961,2000,3.86,-1.3,1.7,29.7
41113,2000,3.871,-1.0,1.7,29.9
41265,2000,3.881,-1.0,1.1,29.9
41417,2000,3.891,-1.1,0.9,29.7
41569,2000,3.9,-1.2,0.9,29.5
41720,2000,3.907,-1.3,1.1,29.2
41872,2000,3.913,-1.4,1.2,28.8
42024,2000,3.915,-1.2,1.2,28.4
42176,2000,3.916,-1.4,1.4,28.2
42328,2000,3.913,-1.5,1.5,27.9
42480,2000,3.91,-1.5,1.8,27.7
42632,2000,3.904,-1.3,1.5,27.7
42784,2000,3.899,-1.2,1.4,27.8
42936,2000,3.893,-1.2,1.3,28.0
43088,2000,3.889,-1.4,1.3,28.3
43239,2000,3.884,-1.6,1.4,28.7
43391,2000,3.879,-1.9,1.5,29.2
43544,2000,3.872,-2.0,1.5,29.6
43696,2000,3.867,-2.0,1.5,30.0
43848,2000,3.861,-2.0,1.4,30.4
44000,2000,3.857,-1.7,1.3,30.5
44151,2000,3.853,-1.6,1.3,30.3
44303,2000,3.853,-1.6,1.4,29.9
44455,2000,3.852,-1.5,1.5,29.3
44607,2000,3.853,-0.9,1.5,28.7
44759,2000,3.854,-0.3,1.6,28.1
44910,2000,3.856,-0.1,1.8,27.6
45062,2000,3.852,-0.3,1.8,27.2
45214,2000,3.85,-0.4,1.8,27.0
45366,2000,3.845,-0.3,1.8,26.9
45518,2000,3.847,-0.2,1.9,26.9
45670,2000,3.848,-0.1,2.0,27.1
45821,2000,3.853,-0.2,2.1,27.6
45973,2000,3.854,-0.5,2.1,28.2
46125,2000,3.859,-1.0,2.0,29.0
46277,2000,3.861,-1.4,1.8,29.9
46429,2000,3.866,-2.0,1.5,31.0
46581,2000,3.87,-2.3,1.2,31.8
46732,2000,3.875,-2.8,1.0,32.6
46884,2000,3.875,-2.6,1.2,33.0
47036,2000,3.876,-1.9,1.8,33.2
47188,2000,3.875,-1.4,2.0,33.2
47340,2000,3.876,-1.2,2.0,32.9
47492,2000,3.875,-1.3,2.1,32.7
47644,2000,3.876,-1.5,2.0,32.5
47796,2000,3.876,-1.5,2.1,32.3
47947,2000,3.877,-1.2,2.2,31.8
48099,2000,3.877,-1.1,2.3,31.2
48251,2000,3.877,-1.1,2.2,30.7
[FCU] EKF3 IMU0 switching to compass 1
[FCU] EKF3 IMU1 switching to compass 1
48504,2000,3.874,-1.0,2.1,29.9
48656,2000,3.873,-1.0,1.6,24.8
48807,2000,3.873,-1.1,1.4,20.4
48959,2000,3.873,-1.1,1.3,18.7
49111,2000,3.872,-0.9,1.5,19.4
49263,2000,3.874,-0.7,1.6,21.3
49414,2000,3.872,-0.4,1.8,23.5
49566,2000,3.871,-0.3,1.8,25.7
49718,2000,3.869,-0.2,1.7,27.4
49869,2000,3.867,-0.1,1.4,28.9
50021,2000,3.867,-0.0,1.5,30.0
50173,2000,3.868,0.0,1.7,30.7
50325,2000,3.868,0.1,1.9,30.9
50477,2000,3.867,0.3,2.1,30.6
50629,2000,3.867,0.3,2.2,29.9
50781,2000,3.867,0.2,2.5,29.0
50932,2000,3.868,0.4,2.5,28.0
51084,2000,3.868,0.4,2.3,26.9
51236,2000,3.868,0.2,2.0,26.1
51388,2000,3.869,-0.7,1.8,25.7
51540,2000,3.865,-1.4,1.8,25.5
51692,2000,3.864,-2.2,1.9,25.5
51844,2000,3.859,-2.7,1.8,25.7
52048,2000,3.921,-3.4,2.4,26.7
52200,2000,3.919,0.2,2.0,30.6
52352,2000,3.916,0.4,1.9,30.8
52503,2000,3.913,0.7,1.9,30.8
52655,2000,3.912,0.6,1.8,30.9
52807,2000,3.909,0.5,1.6,30.9
52959,2000,3.906,0.3,1.4,30.9
53111,2000,3.905,0.4,1.2,30.6
53262,2000,3.903,0.5,1.3,30.3
53414,2000,3.902,0.4,1.5,29.8
53566,2000,3.901,0.2,1.8,29.3
53717,2000,3.9,0.2,2.0,28.6
53869,2000,3.9,0.3,2.0,27.9
54021,2000,3.9,0.3,1.9,27.2
54173,2000,3.899,0.3,1.8,26.5
54324,2000,3.897,0.2,1.8,25.8
54476,2000,3.895,0.1,1.4,25.4
54628,2000,3.893,0.1,1.2,25.2
54779,2000,3.891,-0.2,1.3,25.3
54931,2000,3.89,-0.6,1.0,25.6
55083,2000,3.889,-1.0,0.6,26.1
55235,2000,3.89,-1.3,0.3,26.7
55387,2000,3.888,-1.5,0.1,27.4
55539,2000,3.886,-1.7,0.2,28.1
55691,2000,3.88,-2.1,0.3,28.8
55843,2000,3.877,-2.1,0.8,29.4
55995,2000,3.875,-2.2,1.2,29.8
56146,2000,3.877,-2.0,1.3,30.0
56298,2000,3.881,-1.7,1.0,30.2
56450,2000,3.884,-1.7,0.8,30.2
56602,2000,3.889,-1.7,0.7,30.2
56753,2000,3.894,-1.6,0.5,30.0
56905,2000,3.9,-1.6,0.6,29.8
57057,2000,3.907,-1.8,0.7,29.4
57209,2000,3.914,-2.0,0.8,29.0
57361,2000,3.919,-1.9,0.7,28.5
57512,2000,3.924,-1.4,0.8,28.0
57664,2000,3.93,-1.1,0.9,27.6
57816,2000,3.933,-1.1,0.8,27.3
57968,2000,3.935,-1.5,0.8,27.0
58119,2000,3.932,-1.6,0.8,26.8
