Connecting to /dev/serial/by-id/usb-FTDI_FT232R_USB_UART_A5XK3RJT-if00-port0 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
25735,2000,1.402,0.7,0.8,131.1
25827,2000,1.486,0.7,1.0,129.8
25909,2000,1.563,0.8,1.0,128.7
26031,2000,1.633,0.8,1.2,127.7
26133,2000,1.695,0.4,1.2,127.2
26235,2000,1.752,0.1,1.2,126.9
26317,2000,1.801,-0.2,1.3,126.8
26419,2000,1.843,-0.2,1.5,127.0
26541,2000,1.876,-0.4,1.8,127.1
26644,2000,1.901,-0.2,1.9,127.3
30171,2000,1.916,-0.1,1.9,127.5
30204,2000,1.924,0.1,1.7,127.7
30237,2000,1.925,0.4,1.6,127.8
30270,2000,1.92,0.5,1.2,128.0
30303,2000,1.913,0.4,0.7,128.3
30336,2000,1.904,0.5,0.6,128.5
30369,2000,1.894,0.5,0.5,128.6
30402,2000,1.882,0.4,0.4,128.7
30435,2000,1.872,0.5,0.4,128.7
30468,2000,1.862,0.5,0.5,128.7
30501,2000,1.855,0.7,0.5,128.7
30534,2000,1.85,0.8,0.4,128.6
30567,2000,1.847,0.9,0.1,128.5
30600,2000,1.845,0.8,0.2,128.4
30633,2000,1.845,0.7,0.5,128.2
30666,2000,1.846,0.7,0.6,128.0
30699,2000,1.848,0.8,0.7,127.8
30732,2000,1.851,0.8,0.7,127.5
30765,2000,1.856,0.9,0.7,127.3
30798,2000,1.86,0.8,0.6,127.1
30831,2000,1.861,0.8,0.6,126.9
30864,2000,1.861,0.7,0.6,126.7
30897,2000,1.861,0.6,0.6,126.6
30930,2000,1.859,0.4,0.7,126.6
30962,2000,1.858,0.4,0.7,126.6
30995,2000,1.855,0.3,0.5,126.7
31028,2000,1.854,0.1,0.3,126.8
31061,2000,1.856,0.1,0.3,127.0
31094,2000,1.859,0.1,0.3,127.2
31127,2000,1.863,0.1,0.3,127.4
31194,2000,1.888,0.3,-0.0,127.7
31312,2000,1.888,0.3,1.1,128.2
31410,2000,1.886,-0.0,2.3,128.4
31508,2000,1.883,-0.3,2.4,128.5
31605,2000,1.879,-0.3,2.0,128.7
31691,2000,1.875,-0.2,1.4,128.8
31811,2000,1.87,-0.2,0.9,129.0
31897,2000,1.866,-0.1,0.7,129.1
32018,2000,1.859,-0.3,0.0,129.3
32104,2000,1.853,-0.3,-0.6,129.6
32212,2000,1.846,-0.4,-0.5,129.9
32321,2000,1.838,-0.4,-0.2,130.3
32407,2000,1.831,-0.5,0.0,130.8
32502,2000,1.826,-0.3,0.2,131.2
32596,2000,1.82,-0.2,0.4,131.5
32711,2000,1.816,-0.1,0.5,131.8
32806,2000,1.811,-0.1,0.5,132.0
32910,2000,1.807,-0.0,0.4,132.1
33015,2000,1.803,0.0,0.4,132.1
33089,2000,1.799,0.2,0.4,132.0
33203,2000,1.793,0.3,0.3,131.8
33308,2000,1.789,0.2,0.1,131.6
33413,2000,1.785,0.2,0.0,131.4
33496,2000,1.783,0.6,0.2,131.1
33591,2000,1.784,0.9,0.3,130.8
33706,2000,1.785,0.8,0.4,130.5
33811,2000,1.787,0.6,0.5,130.2
33914,2000,1.79,0.3,0.6,130.0
33997,2000,1.794,0.2,0.7,129.8
34092,2000,1.799,0.1,0.7,129.6
34207,2000,1.805,-0.0,0.6,129.6
34311,2000,1.81,0.0,0.6,129.6
34406,2000,1.814,-0.2,0.5,129.8
34500,2000,1.819,-0.2,0.4,130.6
34595,2000,1.824,-0.1,0.5,132.8
34710,2000,1.825,0.0,0.5,136.7
34805,2000,1.826,-0.1,0.5,141.9
34910,2000,1.825,-0.3,0.4,148.2
35004,2000,1.822,-0.3,0.4,154.9
35098,2000,1.816,-0.2,0.4,160.9
35204,2000,1.808,-0.3,0.5,165.4
35308,2000,1.803,-0.5,0.7,167.8
35413,2000,1.798,-0.6,0.7,167.8
35497,2000,1.795,0.1,0.1,165.5
35591,2000,1.793,0.9,-0.7,161.3
35706,2000,1.792,1.1,-1.3,155.7
35811,2000,1.795,0.7,-1.2,148.7
35895,2000,1.799,0.4,-0.8,140.8
36000,2000,1.805,0.3,-0.6,132.0
36094,2000,1.811,0.4,-0.6,122.6
36199,2000,1.817,0.5,-0.5,114.2
36293,2000,1.821,0.6,-0.2,105.1
36408,2000,1.823,0.2,-0.1,96.5
36502,2000,1.823,-0.1,0.4,89.2
36607,2000,1.823,0.0,-0.0,83.6
36701,2000,1.82,-0.2,-0.4,80.1
36795,2000,1.814,-0.4,-0.4,78.3
36910,2000,1.807,-0.5,-0.0,78.0
37004,2000,1.797,-0.5,0.3,79.0
37098,2000,1.786,-0.6,0.3,80.9
37193,2000,1.774,-0.6,0.2,83.4
37307,2000,1.761,-0.2,0.2,86.1
37402,2000,1.75,0.2,0.3,88.8
37507,2000,1.74,0.3,0.1,91.2
37601,2000,1.733,0.6,0.1,93.2
37695,2000,1.726,0.9,0.1,94.6
37810,2000,1.72,1.2,0.0,95.5
37905,2000,1.715,1.2,-0.0,95.7
Landing...
