time: 1768185835.8, dx: 0:.3f, vx:0.0:.3f, dy:0.578:.3f, vy:0.1156:.3f, dz:2.516:.3f, vz:0.10063883256540784:.3f
time: 1768185835.8, dx: 0:.3f, vx:0.0:.3f, dy:0.5477027027027027:.3f, vy:0.10954054054054055:.3f, dz:2.52:.3f, vz:0.10079895007885707:.3f
time: 1768185835.8, dx: 0:.3f, vx:0.0:.3f, dy:0.5221621621621622:.3f, vy:0.10443243243243244:.3f, dz:2.52:.3f, vz:0.10079904571562602:.3f
time: 1768185835.8, dx: 0:.3f, vx:0.0:.3f, dy:0.5022972972972973:.3f, vy:0.10045945945945947:.3f, dz:2.52:.3f, vz:0.10079911694292197:.3f
time: 1768185835.8, dx: 0:.3f, vx:0.0:.3f, dy:0.45263513513513515:.3f, vy:0.09052702702702703:.3f, dz:2.52:.3f, vz:0.10079928292629584:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.4242567567567568:.3f, vy:0.08485135135135136:.3f, dz:2.52:.3f, vz:0.10079937002269951:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.42:.3f, vy:0.084:.3f, dz:2.52:.3f, vz:0.1007993826009454:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.40722972972972976:.3f, vy:0.08144594594594595:.3f, dz:2.52:.3f, vz:0.10079941957465084:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.3873648648648649:.3f, vy:0.07747297297297298:.3f, dz:2.52:.3f, vz:0.10079947482029922:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.3745945945945946:.3f, vy:0.07491891891891893:.3f, dz:2.52:.3f, vz:0.10079950887671216:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.3575675675675675:.3f, vy:0.07151351351351351:.3f, dz:2.52:.3f, vz:0.10079955250951785:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.3433783783783784:.3f, vy:0.06867567567567569:.3f, dz:2.52:.3f, vz:0.10079958731993481:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.3377027027027027:.3f, vy:0.06754054054054054:.3f, dz:2.52:.3f, vz:0.10079960084949122:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.32493243243243247:.3f, vy:0.0649864864864865:.3f, dz:2.52:.3f, vz:0.10079963046653892:.3f
time: 1768185835.9, dx: 0:.3f, vx:0.0:.3f, dy:0.31783783783783787:.3f, vy:0.06356756756756758:.3f, dz:2.52:.3f, vz:0.100799646427191:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.30932432432432433:.3f, vy:0.061864864864864866:.3f, dz:2.52:.3f, vz:0.10079966511489649:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.32918918918918916:.3f, vy:0.06583783783783784:.3f, dz:2.52:.3f, vz:0.10079962072102883:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.34621621621621623:.3f, vy:0.06924324324324325:.3f, dz:2.52:.3f, vz:0.10079958047059721:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.36422804054054053:.3f, vy:0.07284560810810811:.3f, dz:2.517:.3f, vz:0.10067953623606335:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.37840033783783783:.3f, vy:0.07568006756756757:.3f, dz:2.517:.3f, vz:0.10067949944337902:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.3968243243243243:.3f, vy:0.07936486486486487:.3f, dz:2.517:.3f, vz:0.10067944951347026:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.4067449324324324:.3f, vy:0.08134898648648649:.3f, dz:2.517:.3f, vz:0.1006794216451297:.3f
time: 1768185836.0, dx: 0:.3f, vx:0.0:.3f, dy:0.4109966216216216:.3f, vy:0.08219932432432432:.3f, dz:2.517:.3f, vz:0.10067940949091134:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.4152483108108108:.3f, vy:0.08304966216216217:.3f, dz:2.517:.3f, vz:0.1006793972103067:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.42658614864864863:.3f, vy:0.08531722972972973:.3f, dz:2.517:.3f, vz:0.1006793638441394:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.45493074324324323:.3f, vy:0.09098614864864865:.3f, dz:2.517:.3f, vz:0.10067927649670738:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.46835754504504507:.3f, vy:0.09367150900900902:.3f, dz:2.513:.3f, vz:0.10051923437834777:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.4867522522522522:.3f, vy:0.09735045045045045:.3f, dz:2.513:.3f, vz:0.10051917305802228:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.506561936936937:.3f, vy:0.1013123873873874:.3f, dz:2.513:.3f, vz:0.10051910437927994:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.5207117117117117:.3f, vy:0.10414234234234235:.3f, dz:2.513:.3f, vz:0.1005190536459139:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.5376914414414414:.3f, vy:0.10753828828828829:.3f, dz:2.513:.3f, vz:0.10051899092104268:.3f
time: 1768185836.1, dx: 0:.3f, vx:0.0:.3f, dy:0.5419363738738738:.3f, vy:0.10838727477477478:.3f, dz:2.513:.3f, vz:0.1005189749253651:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5419363738738738:.3f, vy:0.10838727477477478:.3f, dz:2.513:.3f, vz:0.1005189749253651:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5405213963963964:.3f, vy:0.10810427927927929:.3f, dz:2.513:.3f, vz:0.10051898027123363:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5362764639639639:.3f, vy:0.10725529279279278:.3f, dz:2.513:.3f, vz:0.10051899622498325:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5292015765765765:.3f, vy:0.1058403153153153:.3f, dz:2.513:.3f, vz:0.10051902253504619:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5192967342342342:.3f, vy:0.10385934684684683:.3f, dz:2.513:.3f, vz:0.10051905878214251:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5160270270270271:.3f, vy:0.10320540540540542:.3f, dz:2.504:.3f, vz:0.1001590739259363:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5132072072072072:.3f, vy:0.10264144144144145:.3f, dz:2.504:.3f, vz:0.10015908401928814:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.5103873873873874:.3f, vy:0.10207747747747749:.3f, dz:2.504:.3f, vz:0.10015909405733447:.3f
time: 1768185836.2, dx: 0:.3f, vx:0.0:.3f, dy:0.48923873873873874:.3f, vy:0.09784774774774775:.3f, dz:2.504:.3f, vz:0.10015916757981722:.3f
time: 1768185836.3, dx: 0:.3f, vx:0.0:.3f, dy:0.4695:.3f, vy:0.0939:.3f, dz:2.504:.3f, vz:0.10015923339404187:.3f
time: 1768185836.3, dx: 0:.3f, vx:0.0:.3f, dy:0.46245045045045047:.3f, vy:0.0924900900900901:.3f, dz:2.504:.3f, vz:0.10015925624236757:.3f
time: 1768185836.3, dx: 0:.3f, vx:0.0:.3f, dy:0.4427117117117117:.3f, vy:0.08854234234234235:.3f, dz:2.504:.3f, vz:0.10015931837876542:.3f
time: 1768185836.3, dx: 0:.3f, vx:0.0:.3f, dy:0.4342522522522522:.3f, vy:0.08685045045045045:.3f, dz:2.504:.3f, vz:0.10015934417906444:.3f
time: 1768185836.3, dx: -0.36093693693693696:.3f, vx:-0.14437477477477478:.3f, dy:0.4342522522522522:.3f, vy:0.08685045045045045:.3f, dz:2.504:.3f, vz:0.07576253232020336:.3f
time: 1768185836.3, dx: -0.4184752252252253:.3f, vx:-0.16739009009009012:.3f, dy:0.4437522522522523:.3f, vy:0.08875045045045046:.3f, dz:2.494:.3f, vz:0.06787858711699456:.3f
time: 1768185836.3, dx: -0.4563907657657658:.3f, vx:-0.18255630630630634:.3f, dy:0.4563907657657658:.3f, vy:0.09127815315315317:.3f, dz:2.494:.3f, vz:0.06252906824567583:.3f
time: 1768185836.3, dx: -0.5237961711711712:.3f, vx:-0.20951846846846847:.3f, dy:0.4886891891891892:.3f, vy:0.09773783783783785:.3f, dz:2.494:.3f, vz:0.052528016210234126:.3f
time: 1768185836.3, dx: -0.5827759009009009:.3f, vx:-0.23311036036036037:.3f, dy:0.5336261261261261:.3f, vy:0.10672522522522523:.3f, dz:2.494:.3f, vz:0.0435038374402217:.3f
time: 1768185836.4, dx: -0.6066486486486488:.3f, vx:-0.24265945945945952:.3f, dy:0.547668918918919:.3f, vy:0.10953378378378381:.3f, dz:2.494:.3f, vz:0.039843034063613295:.3f
time: 1768185836.4, dx: -0.6347342342342343:.3f, vx:-0.2538936936936937:.3f, dy:0.567328828828829:.3f, vy:0.1134657657657658:.3f, dz:2.494:.3f, vz:0.035568091918991185:.3f
time: 1768185836.4, dx: -0.668436936936937:.3f, vx:-0.2673747747747748:.3f, dy:0.5757545045045045:.3f, vy:0.11515090090090091:.3f, dz:2.494:.3f, vz:0.030528065320484625:.3f
time: 1768185836.4, dx: -0.680045045045045:.3f, vx:-0.272018018018018:.3f, dy:0.5781081081081081:.3f, vy:0.11562162162162162:.3f, dz:2.48:.3f, vz:0.028663012239519985:.3f
time: 1768185836.4, dx: -0.7191441441441442:.3f, vx:-0.28765765765765766:.3f, dy:0.6088288288288288:.3f, vy:0.12176576576576577:.3f, dz:2.48:.3f, vz:0.023125527430060085:.3f
time: 1768185836.4, dx: -0.7428828828828828:.3f, vx:-0.29715315315315316:.3f, dy:0.6199999999999999:.3f, vy:0.12399999999999999:.3f, dz:2.48:.3f, vz:0.019920357401364414:.3f
time: 1768185836.4, dx: -0.7903603603603604:.3f, vx:-0.31614414414414416:.3f, dy:0.6507207207207207:.3f, vy:0.13014414414414416:.3f, dz:2.48:.3f, vz:0.013974052676332383:.3f
